title,year,mpaa,runtime,genres,star_rating,director,stars,gross,release_date
Active Adults,2017,,,Comedy,,,,$0,"Nov 21, 2017"
The Activist,2014,,,Drama,,,,$0,"Dec 31, 2014"
Actor for Hire,2015,,,Comedy,,,,$0,"Jan 1, 2015"
Actor in Law,2016,,,Comedy,,,,$0,"Sep 12, 2016"
Actor Martinez,2017,,,Drama,,,,$0,"Mar 10, 2017"
Actress,2014,,,Documentary,,,,"$19,365","Nov 7, 2014"
Actrices,2007,,,,,,,$0,"Dec 31, 2007"
Acts of Violence,2009,,,,,,,$0,"Dec 31, 2009"
Acts of Violence,2018,,,Action,,,,$0,"Jan 12, 2018"
Acts of Worship,2003,,,Drama,,,,"$9,377","Nov 21, 2003"
Acustico En Vivo,2010,,,Concert/Performance,,,,$0,"Nov 9, 2010"
Ad Astra,2019,,,Thriller/Suspense,,,,$0,"Jan 11, 2019"
Ad Inexplorata,2012,,,Action,,,,$0,"Dec 31, 2012"
Adam,2009,,,Drama,,,,"$2,283,291","Jul 29, 2009"
Adam & Steve,2006,,,Romantic Comedy,,,,"$309,404","Mar 31, 2006"
Adam MÄ±sÄ±n!,2016,,,Comedy,,,,$0,"Dec 31, 2016"
Adam Resurrected,2009,,,,,,,$0,"Sep 22, 2009"
Adam's Apples,2007,,,Comedy,,,,"$1,305","Mar 16, 2007"
Adams Yolanda-What a Wonderful Time,2010,,,Concert/Performance,,,,$0,"Oct 19, 2010"
Adanggaman,2001,,,Drama,,,,"$28,664","Jul 13, 2001"
Adaptation,2002,,,Comedy,,,,"$22,498,520","Dec 6, 2002"
The Addams Family,1991,,,Comedy,,,,"$113,502,246","Nov 22, 1991"
The Addams Family,2019,,,Adventure,,,,$0,"Oct 11, 2019"
Addams Family Values,1993,,,Comedy,,,,"$46,293,855","Nov 19, 1993"
The Adderall Diaries,2016,,,Drama,,,,"$13,191","Apr 15, 2016"
Addicted,2014,,,Drama,,,,"$17,390,770","Oct 10, 2014"
Addicted to Fame,2012,,,Documentary,,,,$0,"Nov 26, 2012"
Addicted to Fresno,2015,,,Comedy,,,,$0,"Oct 2, 2015"
Addicted To Love,1997,,,Romantic Comedy,,,,"$34,673,095","May 23, 1997"
Addicted to Sheep,2015,,,Documentary,,,,$0,"Dec 31, 2015"
Addiction Incorporated,2011,,,Documentary,,,,"$40,106","Dec 14, 2011"
The Addiction,1995,,,Horror,,,,"$303,300","Oct 4, 1995"
Addio Fottuti Musi Verdi,2017,,,Comedy,,,,$0,"Dec 31, 2017"
The Address,2014,,,Documentary,,,,$0,"Apr 22, 2014"
Adele: Live from the Royal Albert Hall,2011,,,Concert/Performance,,,,$0,"Dec 31, 2011"
Adi Kapyare Kootamani,2015,,,Comedy,,,,$0,"Dec 31, 2015"
Adieu au langage,2014,,,Drama,,,,"$433,062","Oct 29, 2014"
Les adieux Ã  la reine,2012,,,Drama,,,,"$1,329,660","Jul 13, 2012"
Adios Amigos,2016,,,Drama,,,,$0,"Dec 31, 2016"
Adios Momo,2007,,,Drama,,,,"$8,453","Apr 20, 2007"
Adjust Your Color: The Truth of Petey Greene,2009,,,Documentary,,,,$0,"Mar 3, 2009"
The Adjuster,1992,,,Drama,,,,"$396,573","Jul 1, 1992"
The Adjustment Bureau,2011,,,Thriller/Suspense,,,,"$62,495,645","Mar 4, 2011"
Admission,2013,,,Romantic Comedy,,,,"$18,007,317","Mar 22, 2013"
Adopte un veuf,2016,,,Comedy,,,,$0,"Dec 31, 2016"
Adopted,2009,,,,,,,$0,"Dec 31, 2009"
Adoration,2009,,,Drama,,,,"$294,244","May 8, 2009"
Adore,2013,,,Drama,,,,"$302,020","Sep 6, 2013"
Adorenarin doraibu,2000,,,Comedy,,,,"$77,313","May 5, 2000"
Adrenalin: Fear the Rush,1996,,,,,,,"$37,536","Dec 6, 1996"
Adrenaline of Love,2010,,,,,,,$0,"Feb 9, 2010"
Adrenaline Rush: The Science of Risk,2002,,,Documentary,,,,"$16,933,791","Oct 18, 2002"
Adrenochrome,2018,,,Thriller/Suspense,,,,$0,"Feb 1, 2018"
Adrift,2016,,,Drama,,,,$0,"Dec 31, 2016"
Adrift,2018,,,Drama,,,,$0,"Jun 1, 2018"
Adrift in Manhattan,2007,,,Drama,,,,$0,"Sep 21, 2007"
Adult Beginners,2015,,,Comedy,,,,"$104,808","Apr 24, 2015"
Adult Life Skills,2016,,,Comedy,,,,$0,"Dec 31, 2016"
Adult World,2014,,,Comedy,,,,"$19,731","Feb 14, 2014"
Adulterers,2016,,,Thriller/Suspense,,,,$0,"Jan 5, 2016"
Adulthood,2008,,,Drama,,,,$0,"Dec 31, 2008"
Advanced Style,2014,,,Documentary,,,,"$87,909","Sep 26, 2014"
Advantageous,2015,,,Drama,,,,$0,"Dec 31, 2015"
The Adventure Club,2017,,,Adventure,,,,$0,"Feb 10, 2017"
Adventure Coral Reef 3D: Under the Sea of Egypt,2013,,,Documentary,,,,$0,"Feb 25, 2013"
An Adventure in Space and Time,2014,,,Drama,,,,$0,"May 27, 2014"
The Adventure of Sherlock Holmes' Smarter Brother,1975,,,Comedy,,,,"$20,000,000","Jan 1, 1975"
The Adventure Of The Ugly Duckling,2016,,,Adventure,,,,$0,"Dec 31, 2016"
Adventure Planet,2014,,,Adventure,,,,$0,"Oct 28, 2014"
The Adventure Scouts,2010,,,,,,,$0,"Dec 31, 2010"
Adventure Time with Finn and Jake Islands,2016,,,Adventure,,,,$0,"Dec 31, 2016"
Adventureland,2009,,,Black Comedy,,,,"$16,044,025","Apr 3, 2009"
The Adventurer's Handbook,2011,,,Comedy,,,,$0,"Dec 31, 2011"
The Adventurers,2017,,,Thriller/Suspense,,,,"$216,556","Aug 18, 2017"
Adventures in Babysitting,1987,,,Comedy,,,,"$33,790,923","Jul 3, 1987"
Adventures in Babysitting,2016,,,Adventure,,,,$0,"Jun 28, 2016"
Adventures in Lalaloopsy Land: The Search for Pillow,2012,,,,,,,$0,"Mar 20, 2012"
Adventures in Public School,2017,,,,,,,$0,"Dec 31, 2017"
Adventures in the Sin Bin,2013,,,Comedy,,,,$0,"Oct 18, 2013"
Adventures of a Mathematician,2017,,,Drama,,,,$0,"Dec 31, 2017"
Adventures of A Teenage Dragon Slayer,2010,,,Adventure,,,,$0,"Dec 31, 2010"
Adventures of Bailey: A Night in Cowtown,2013,,,Adventure,,,,$0,"May 21, 2013"
The Adventures of Baron Munchausen,1989,,,Comedy,,,,"$8,040,008","Mar 10, 1989"
The Adventures of Beatle,2016,,,Comedy,,,,$0,"May 3, 2016"
The Adventures of Bob & Doug McKenzie: Strange Brew,1983,,,Comedy,,,,"$7,035,618","Aug 19, 1983"
The Adventures of Brer Rabbit,2006,,,Action,,,,$0,"Mar 21, 2006"
The Adventures of Brigadier Gerard,2011,,,Comedy,,,,$0,"Dec 31, 2011"
The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,,Adventure,,,,"$6,300,000","Aug 10, 1984"
Adventures of Captain Marvel,1941,,,,,,,$0,"Mar 28, 1941"
The Adventures of Charlotte and Henry,2008,,,,,,,$0,"Dec 31, 2008"
The Adventures of Clutch Powers,2010,,,,,,,$0,"Dec 31, 2010"
Adventures of Don Juan,1948,,,Adventure,,,,$0,"Dec 1, 1948"
The Adventures of Elmo in Grouchland,1999,,,Adventure,,,,"$11,634,458","Oct 1, 1999"
The Adventures of Ford Fairlane,1990,,,Comedy,,,,"$20,423,389","Jul 11, 1990"
The Adventures of Hercules II,2017,,,,,,,$0,"Aug 22, 2017"
The Adventures of Huck Finn,1993,,,Adventure,,,,"$24,103,594","Apr 2, 1993"
The Adventures of Huckleberry Finn,2015,,,Adventure,,,,$0,"Dec 31, 2015"
The Adventures of Ichabod and Mr. Toad,1949,,,Adventure,,,,$0,"Oct 5, 1949"
The Adventures of Mark Twain,1986,,,Adventure,,,,"$646,803","Jan 17, 1986"
The Adventures of Mickey Matson and the Copperhead Treasure,2013,,,Adventure,,,,$0,"Oct 14, 2013"
The Adventures of Ociee Nash,2004,,,Drama,,,,$0,"Jul 23, 2004"
The Adventures of Pepper and Paula,2015,,,Adventure,,,,$0,"May 12, 2015"
The Adventures of Pinocchio,1996,,,Adventure,,,,"$15,382,170","Jul 26, 1996"
The Adventures of Pluto Nash,2002,,,Comedy,,,,"$4,411,102","Aug 16, 2002"
Adventures of Power,2009,,,Comedy,,,,"$17,738","Oct 9, 2009"
"The Adventures of Priscilla, Queen of the Desert",1994,,,Comedy,,,,"$11,059,000","Aug 10, 1994"
The Adventures of Rocky & Bullwinkle,2000,,,Adventure,,,,"$26,000,610","Jun 30, 2000"
The Adventures of Sebastian Cole,1999,,,Comedy,,,,"$100,041","Aug 6, 1999"
The Adventures of Sharkboy and Lavagirl in 3-D,2005,,,Adventure,,,,"$39,177,684","Jun 10, 2005"
The Adventures of Sherlock Holmes,1939,,,Thriller/Suspense,,,,$0,"Dec 31, 1939"
The Adventures of the American Rabbit,1986,,,Adventure,,,,"$1,023,042","Jan 17, 1986"
Adventures of the Penguin King,2013,,,Adventure,,,,$0,"Dec 6, 2013"
The Adventures of the Wilderness Family,1975,,,Adventure,,,,"$28,819,175","Dec 25, 1975"
The Adventures of Tintin,2011,,,Adventure,,,,"$77,591,831","Dec 21, 2011"
Ae Dil Hai Mushkil,2016,,,Drama,,,,"$4,264,983","Oct 28, 2016"
Aeon Flux,2005,,,Action,,,,"$25,857,987","Dec 2, 2005"
The Aeronauts,2018,,,Adventure,,,,$0,"Dec 31, 2018"
Aferim!,2016,,,Black Comedy,,,,"$108,110","Jan 22, 2016"
The Affair of the Necklace,2001,,,Drama,,,,"$430,313","Nov 30, 2001"
Affaire de famille,2008,,,,,,,$0,"Dec 31, 2008"
Une affaire de goÃ»t,2001,,,Thriller/Suspense,,,,"$48,602","Feb 2, 2001"
Lâ€™affaire Farewell,2010,,,Thriller/Suspense,,,,"$390,157","Jan 29, 2010"
L'affaire SK1,2016,,,Drama,,,,"$10,330","Jun 17, 2016"
An Affirmative Act,2011,,,Drama,,,,$0,"Apr 1, 2011"
Afflicted,2014,,,Horror,,,,"$121,179","Apr 4, 2014"
The Afflicted,2011,,,Horror,,,,"$212,940","Oct 28, 2011"
Affliction,1998,,,Drama,,,,"$6,330,054","Dec 30, 1998"
Affluenza,2014,,,Drama,,,,$0,"Jul 11, 2014"
Afghan Luke,2011,,,,,,,$0,"Dec 31, 2011"
Afghan Star,2009,,,Documentary,,,,"$102,115","Jun 26, 2009"
Afghan Stories,2003,,,Documentary,,,,$0,"May 2, 2003"
Africa,2013,,,Documentary,,,,$0,"Feb 26, 2013"
Africa,2016,,,Drama,,,,$0,"Dec 31, 2016"
African Adventure: Safari in the Okavango,2007,,,Documentary,,,,$0,"Dec 31, 2007"
African Cats,2011,,,Documentary,,,,"$15,428,747","Apr 22, 2011"
The African Queen,1951,,,Adventure,,,,"$10,750,000","Jan 1, 1951"
Africa's Elephant Kingdom,1998,,,Documentary,,,,"$13,485,455","May 8, 1998"
Afro Samurai: Resurrection,2009,,,,,,,$0,"Feb 3, 2009"
Afrosamurai,2011,,,Action,,,,$0,"Dec 31, 2011"
After,2012,,,Thriller/Suspense,,,,$0,"Dec 31, 2012"
After,2014,,,Drama,,,,"$24,545","Aug 8, 2014"
After Alice,1999,,,,,,,$0,"Dec 31, 1999"
After Dark Action,2012,,,Action,,,,$0,"May 11, 2012"
"After Dark, My Sweet",1990,,,,,,,"$2,678,414","Aug 24, 1990"
After Dark They Come,2012,,,,,,,$0,"Dec 31, 2012"
After Dark's Horrorfest 2007,2007,,,Horror,,,,"$874,635","Nov 9, 2007"
After Dark's Horrorfest III,2009,,,Horror,,,,"$66,456","Jan 9, 2009"
After Earth,2013,,,Action,,,,"$60,522,097","May 31, 2013"
After Freedom,2004,,,Drama,,,,"$35,639","May 14, 2004"
After Hours,1985,,,Comedy,,,,"$10,609,321","Sep 13, 1985"
After Innocence,2005,,,Documentary,,,,"$114,264","Oct 21, 2005"
After Last Season,2009,,,,,,,$0,"Dec 31, 2009"
After.Life,2010,,,Horror,,,,"$108,596","Apr 9, 2010"
After Louie,2018,,,Drama,,,,$0,"Mar 30, 2018"
After Midnight,1989,,,Horror,,,,$0,"Nov 3, 1989"
After School Special,2017,,,Adventure,,,,$0,"May 30, 2017"
After the Ball,2015,,,Romantic Comedy,,,,"$161,820","Feb 27, 2015"
After the Cup: Sons of Sakhnin United,2010,,,Documentary,,,,"$12,085","May 21, 2010"
After the Dark,2014,,,Thriller/Suspense,,,,$0,"Feb 7, 2014"
After the Fall,2014,,,Multiple Genres,,,,$0,"Dec 12, 2014"
After the Fall,2010,,,Drama,,,,$0,"Dec 31, 2010"
After the Reality,2017,,,Comedy,,,,$0,"Apr 25, 2017"
After the Sunset,2004,,,Action,,,,"$28,328,132","Nov 12, 2004"
After Tiller,2013,,,Documentary,,,,"$67,414","Sep 20, 2013"
After Words,2015,,,Drama,,,,$0,"Aug 21, 2015"
Afterglow,1997,,,Romantic Comedy,,,,"$2,537,428","Dec 26, 1997"
The Afterlight,2010,,,Drama,,,,$0,"Sep 10, 2010"
Aftermath,2014,,,Horror,,,,$0,"Jul 18, 2014"
Aftermath,2014,,,Black Comedy,,,,"$2,955","Nov 28, 2014"
Aftermath,2017,,,Thriller/Suspense,,,,$0,"Apr 7, 2017"
The Aftermath,2018,,,Drama,,,,$0,"Dec 31, 2018"
Afternoon Delight,2013,,,Comedy,,,,"$174,496","Aug 30, 2013"
Afternoon of a Faun: Tanaquil Le Clercq,2014,,,Documentary,,,,"$172,120","Feb 5, 2014"
Afterschool,2009,,,Drama,,,,"$3,911","Oct 2, 2009"
Aftershock,2013,,,Horror,,,,"$40,179","May 10, 2013"
Afterwards,2009,,,Drama,,,,$0,"Oct 27, 2009"
AfutÃ¢ sukÃ»ru,2008,,,,,,,$0,"Dec 31, 2008"
Agagil (Journey to my Boy),2017,,,Drama,,,,$0,"Dec 31, 2017"
